+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
|                36 |  2 |     READY |   RUNNING |
|                37 |  2 |   RUNNING |     READY |
|                37 |  1 |     READY |   RUNNING |
|                38 |  1 |   RUNNING |   WAITING |
|                38 |  4 |     READY |   RUNNING |
|                39 |  4 |   RUNNING |   WAITING |
|                39 |  3 |     READY |   RUNNING |
|                40 |  3 |   RUNNING |     READY |
|                40 |  5 |     READY |   RUNNING |
|                41 |  1 |   WAITING |     READY |
|                41 |  5 |   RUNNING |     READY |
|                41 |  2 |     READY |   RUNNING |
|                42 |  2 |   RUNNING |   WAITING |
|                42 |  3 |     READY |   RUNNING |
|                43 |  4 |   WAITING |     READY |
|                43 |  3 |   RUNNING |     READY |
|                43 |  1 |     READY |   RUNNING |
|                44 |  1 |   RUNNING |     READY |
|                44 |  5 |     READY |   RUNNING |
|                45 |  5 |   RUNNING |TERMINATED |
|                45 |  4 |     READY |   RUNNING |
|                46 |  6 |       NEW |     READY |
|                46 |  4 |   RUNNING |     READY |
|                46 |  3 |     READY |   RUNNING |
|                47 |  2 |   WAITING |     READY |
|                47 |  3 |   RUNNING |TERMINATED |
|                47 |  1 |     READY |   RUNNING |
|                48 |  1 |   RUNNING |     READY |
|                48 |  6 |     READY |   RUNNING |
|                49 |  6 |   RUNNING |     READY |
|                49 |  4 |     READY |   RUNNING |
|                50 |  4 |   RUNNING |     READY |
|                50 |  2 |     READY |   RUNNING |
|                51 |  2 |   RUNNING |     READY |
|                51 |  1 |     READY |   RUNNING |
|                52 |  1 |   RUNNING |     READY |
|                52 |  6 |     READY |   RUNNING |
|                53 |  6 |   RUNNING |     READY |
|                53 |  4 |     READY |   RUNNING |
|                54 |  4 |   RUNNING |     READY |
|                54 |  2 |     READY |   RUNNING |
|                55 |  2 |   RUNNING |     READY |
|                55 |  1 |     READY |   RUNNING |
|                56 |  1 |   RUNNING |     READY |
|                56 |  6 |     READY |   RUNNING |
|                57 |  6 |   RUNNING |     READY |
|                57 |  4 |     READY |   RUNNING |
|                58 |  4 |   RUNNING |     READY |
|                58 |  2 |     READY |   RUNNING |
|                59 |  2 |   RUNNING |     READY |
|                59 |  1 |     READY |   RUNNING |
|                60 |  1 |   RUNNING |   WAITING |
|                60 |  6 |     READY |   RUNNING |
|                61 |  6 |   RUNNING |     READY |
|                61 |  4 |     READY |   RUNNING |
|                62 |  4 |   RUNNING |     READY |
|                62 |  2 |     READY |   RUNNING |
|                63 |  1 |   WAITING |     READY |
|                63 |  2 |   RUNNING |     READY |
|                63 |  6 |     READY |   RUNNING |
|                64 |  6 |   RUNNING |     READY |
|                64 |  4 |     READY |   RUNNING |
|                65 |  4 |   RUNNING |     READY |
|                65 |  1 |     READY |   RUNNING |
|                66 |  1 |   RUNNING |     READY |
|                66 |  2 |     READY |   RUNNING |
|                67 |  2 |   RUNNING |     READY |
|                67 |  6 |     READY |   RUNNING |
|                68 |  6 |   RUNNING |   WAITING |
|                68 |  4 |     READY |   RUNNING |
|                69 |  4 |   RUNNING |   WAITING |
|                69 |  1 |     READY |   RUNNING |
|                70 |  6 |   WAITING |     READY |
|                70 |  1 |   RUNNING |     READY |
|                70 |  2 |     READY |   RUNNING |
|                71 |  2 |   RUNNING |     READY |
|                71 |  6 |     READY |   RUNNING |
|                72 |  6 |   RUNNING |     READY |
|                72 |  1 |     READY |   RUNNING |
|                73 |  4 |   WAITING |     READY |
|                73 |  1 |   RUNNING |     READY |
|                73 |  2 |     READY |   RUNNING |
|                74 |  2 |   RUNNING |     READY |
|                74 |  6 |     READY |   RUNNING |
|                75 |  6 |   RUNNING |     READY |
|                75 |  4 |     READY |   RUNNING |
|                76 |  4 |   RUNNING |     READY |
|                76 |  1 |     READY |   RUNNING |
|                77 |  1 |   RUNNING |     READY |
|                77 |  2 |     READY |   RUNNING |
|                78 |  2 |   RUNNING |     READY |
|                78 |  6 |     READY |   RUNNING |
|                79 |  6 |   RUNNING |     READY |
|                79 |  4 |     READY |   RUNNING |
|                80 |  4 |   RUNNING |     READY |
|                80 |  1 |     READY |   RUNNING |
|                81 |  1 |   RUNNING |TERMINATED |
|                81 |  2 |     READY |   RUNNING |
|                82 |  2 |   RUNNING |     READY |
|                82 |  6 |     READY |   RUNNING |
|                83 |  6 |   RUNNING |     READY |
|                83 |  4 |     READY |   RUNNING |
|                84 |  4 |   RUNNING |     READY |
|                84 |  2 |     READY |   RUNNING |
|                85 |  2 |   RUNNING |   WAITING |
|                85 |  6 |     READY |   RUNNING |
|                86 |  6 |   RUNNING |     READY |
|                86 |  4 |     READY |   RUNNING |
|                87 |  4 |   RUNNING |     READY |
|                87 |  6 |     READY |   RUNNING |
|                88 |  6 |   RUNNING |   WAITING |
|                88 |  4 |     READY |   RUNNING |
|                89 |  4 |   RUNNING |     READY |
|                89 |  4 |     READY |   RUNNING |
|                90 |  2 |   WAITING |     READY |
|                90 |  6 |   WAITING |     READY |
|                90 |  4 |   RUNNING |     READY |
|                90 |  2 |     READY |   RUNNING |
|                91 |  2 |   RUNNING |     READY |
|                91 |  6 |     READY |   RUNNING |
|                92 |  6 |   RUNNING |     READY |
|                92 |  4 |     READY |   RUNNING |
|                93 |  4 |   RUNNING |   WAITING |
|                93 |  2 |     READY |   RUNNING |
|                94 |  2 |   RUNNING |     READY |
|                94 |  6 |     READY |   RUNNING |
|                95 |  6 |   RUNNING |     READY |
|                95 |  2 |     READY |   RUNNING |
|                96 |  2 |   RUNNING |     READY |
|                96 |  6 |     READY |   RUNNING |
|                97 |  4 |   WAITING |     READY |
|                97 |  6 |   RUNNING |TERMINATED |
|                97 |  2 |     READY |   RUNNING |
|                98 |  2 |   RUNNING |     READY |
|                98 |  4 |     READY |   RUNNING |
|                99 |  4 |   RUNNING |     READY |
|                99 |  2 |     READY |   RUNNING |
|               100 |  2 |   RUNNING |TERMINATED |
|               100 |  4 |     READY |   RUNNING |
|               101 |  4 |   RUNNING |     READY |
|               101 |  4 |     READY |   RUNNING |
|               102 |  4 |   RUNNING |     READY |
|               102 |  4 |     READY |   RUNNING |
|               103 |  4 |   RUNNING |     READY |
|               103 |  4 |     READY |   RUNNING |
|               104 |  4 |   RUNNING |     READY |
|               104 |  4 |     READY |   RUNNING |
|               105 |  4 |   RUNNING |     READY |
|               105 |  4 |     READY |   RUNNING |
|               106 |  4 |   RUNNING |   WAITING |
|               110 |  4 |   WAITING |     READY |
|               110 |  4 |     READY |   RUNNING |
|               111 |  4 |   RUNNING |     READY |
|               111 |  4 |     READY |   RUNNING |
|               112 |  4 |   RUNNING |TERMINATED |
+------------------------------------------------+


========== Scheduling Metrics ==========
Throughput:              18.666667 ms/process
Average Turnaround Time: 75.333333 ms
Average Wait Time:       44.833333 ms
Average Response Time:   7.333333 ms
========================================
